PRODUCT,SERVICE TYPE,QUOTES,DURATION
Corsair K95 RGB Platinum XT Keyboard,Refurbished tech,£170.00,
Elgato Stream Deck XL,Refurbished tech,£200.00,
Wacom Intuos Pro Refurbished,Refurbished tech,£180.00,
Google Pixel 4a,Screen-replacement,£70.00,4hours
Dell Inspiron 15,Screen-replacement,£170.00,2hours
Apple MacBook Pro 13,Refurbished tech,£900.00,
Samsung Galaxy S10,Screen-replacement,£90.00,3hours
Sony WH-1000XM4,Refurbished tech,£220.00,
Nintendo Switch,Joy-Con repair,£50.00,1hour
HP Pavilion x360,Battery-replacement,£80.00,1.5hours
Microsoft Surface Pro 7,Refurbished tech,£650.00,
Bose QuietComfort 35 II,Refurbished tech,£250.00,
Lenovo ThinkPad X1 Carbon,Keyboard-replacement,£120.00,2hours
Apple iPad Air (2020),Screen-replacement,£150.00,2hours
Google Nest Hub Max,Refurbished tech,£180.00,
DJI Mavic Air 2,Camera-repair,£300.00,3hours
Fitbit Charge 4,Refurbished tech,£90.00,
Asus ROG Strix G,Refurbished tech,£850.00,
OnePlus 8 Pro,Screen-replacement,£80.00,2.5hours
Alienware m15 R3,Cooling system repair,£120.00,4hours
Jabra Elite 75t,Refurbished tech,£130.00,
Razer Blade 15,Refurbished tech,£1100.00,
Logitech MX Master 3,Refurbished tech,£70.00,
Samsung Galaxy Tab S6,Screen-replacement,£110.00,3hours
Acer Predator Helios 300,Refurbished tech,£900.00,
Apple Watch Series 5,Screen-replacement,£120.00,2hours
Sony PlayStation 5,HDMI-port repair,£80.00,2hours
Kindle Oasis,Screen-replacement,£90.00,1.5hours
Huawei P40 Pro,Screen-replacement,£75.00,2hours
GoPro Hero 9,Refurbished tech,£300.00,
Logitech G Pro X,Refurbished tech,£100.00,
Dell XPS 13,Battery-replacement,£110.00,2hours
Asus ZenBook Flip,Refurbished tech,£700.00,
Oculus Quest 2,Controller repair,£60.00,2hours
Beats Studio3 Wireless,Refurbished tech,£180.00,
Samsung Galaxy Note 10,Screen-replacement,£95.00,3hours
Lenovo Yoga C940,Refurbished tech,£800.00,
Apple MacBook Air,Keyboard-replacement,£130.00,2hours
HP Spectre x360,Refurbished tech,£750.00,
Garmin Fenix 6,Refurbished tech,£400.00,
Razer Naga Pro,Refurbished tech,£90.00,
Microsoft Surface Laptop 3,Screen-replacement,£200.00,3hours
Samsung Galaxy Watch 3,Screen-replacement,£70.00,1.5hours
Acer Swift 3,Refurbished tech,£600.00,
Bose SoundSport Free,Refurbished tech,£140.00,
Dell G5 15,Refurbished tech,£650.00,
Fitbit Versa 3,Screen-replacement,£85.00,1.5hours
Lenovo Legion 5,Battery-replacement,£100.00,2hours
Sony A6000,Refurbished tech,£350.00,
iPhone 12 Mini,Screen-replacement,£130.00,2hours
Samsung Galaxy Buds+,Refurbished tech,£90.00,
Google Pixelbook Go,Refurbished tech,£700.00,
Apple AirPods Pro,Refurbished tech,£180.00,
HP Omen 15,Refurbished tech,£850.00,
Sony Xperia 5 II,Screen-replacement,£85.00,2hours
Razer Kraken X,Refurbished tech,£50.00,
Dell Alienware Aurora,Graphics card upgrade,£300.00,3hours
Asus TUF Gaming A15,Refurbished tech,£900.00,
Canon EOS Rebel T7,Refurbished tech,£400.00,
Apple iPad Pro 11,Screen-replacement,£160.00,2hours
Garmin Forerunner 945,Refurbished tech,£350.00,
Sony PlayStation 4 Pro,HDMI-port repair,£75.00,2hours
HP Elite Dragonfly,Refurbished tech,£1100.00,
Apple iPhone SE (2020),Screen-replacement,£60.00,1.5hours
Samsung Galaxy S20 Ultra,Screen-replacement,£100.00,3hours
Logitech G733,Refurbished tech,£130.00,
Dell Latitude 7490,Refurbished tech,£700.00,
Apple Mac Mini,Refurbished tech,£500.00,
Sony WF-1000XM3,Refurbished tech,£160.00,
Google Pixel 5,Screen-replacement,£80.00,2hours
Huawei MateBook X Pro,Refurbished tech,£1000.00,
Apple TV 4K,Refurbished tech,£120.00,
Samsung Galaxy Note 20 Ultra,Screen-replacement,£110.00,3hours
Lenovo IdeaPad Flex 5,Refurbished tech,£600.00,
Bose Frames,Refurbished tech,£200.00,
Razer BlackWidow V3,Refurbished tech,£150.00,
Asus VivoBook S15,Refurbished tech,£550.00,
Dell Precision 5550,Refurbished tech,£1200.00,
Microsoft Xbox Series X,HDMI-port repair,£85.00,2hours
Apple Watch SE,Screen-replacement,£100.00,1.5hours
Garmin Venu,Refurbished tech,£250.00,
Canon PowerShot G7 X Mark II,Refurbished tech,£450.00,
Apple Magic Keyboard,Refurbished tech,£80.00,
Lenovo Legion Y540,Refurbished tech,£800.00,
Sony Bravia 55",Screen-replacement,£500.00,4hours
HP Envy 13,Refurbished tech,£650.00,
Jabra Elite 85h,Refurbished tech,£180.00,
OnePlus Nord,Screen-replacement,£65.00,2hours
Apple MacBook 12",Keyboard-replacement,£140.00,2hours
Samsung Galaxy Tab S7,Screen-replacement,£130.00,3hours
Dell G3 15,Refurbished tech,£700.00,
Logitech G915,Refurbished tech,£200.00,
Microsoft Surface Book 3,Refurbished tech,£1300.00,
Sony A7 III,Refurbished tech,£1500.00,
Razer Cynosa V2,Refurbished tech,£80.00,
Apple iPhone 11 Pro,Screen-replacement,£140.00,2hours
Google Nest Audio,Refurbished tech,£90.00,
Fitbit Inspire 2,Refurbished tech,£80.00,
Samsung Galaxy A51,Screen-replacement,£60.00,2hours
Canon PIXMA TS9120,Refurbished tech,£150.00,

